Number of combinations considered: 1330
3 Descriptors | Sum of Descriptor Correlation | R2 | MAE
['Z_val_atom', 'Z_val_bulk', 'active_site_oxidation_state', 0.96, 0.79171, 0.298]
['Z_val_atom', 'Z_val_bulk', 'n_d_el_active', 2.18, 0.79171, 0.298]
['magmom', 'bulk_metal_oxidation_state', '4th', 1.23, 0.79163, 0.317]
['d_MM', 'n_d_el_active', 'active_site_oxidation_state', 0.73, 0.7916, 0.296]
['Z_val_atom', 'd_MM', 'active_site_oxidation_state', 0.71, 0.7916, 0.296]
['Z_val_atom', 'd_MM', 'n_d_el_active', 1.02, 0.7916, 0.296]
['Z_val_atom', 'n_d_el_active', 'active_site_oxidation_state', 1.21, 0.79157, 0.297]
['Z_val_bulk', 'd_MO', 'bulk_metal_oxidation_state', 0.66, 0.79123, 0.304]
['Z_val_atom', 'd_MO', 'bulk_metal_oxidation_state', 0.94, 0.79123, 0.304]
['Z_val_atom', 'Z_val_bulk', 'd_MO', 1.0, 0.79123, 0.304]
['q_O', '4th', '5th', 0.15, 0.79117, 0.33]
['n_d_el_adjacent', '3rd', '4th', 1.88, 0.79105, 0.326]
['d_MM', 'c6', 'en_pauling', 1.01, 0.79064, 0.296]
['d_MM', 'c6', '5th', 0.34, 0.79061, 0.31]
['q_M', 'q_O', '4th', 0.37, 0.79048, 0.322]
['q_M', 'active_site_oxidation_state', '4th', 0.9, 0.79019, 0.324]
['Z_val_bulk', 'adjacent_site_oxidation_state', '4th', 0.4, 0.78998, 0.329]
['q_M', '1st', '2nd', 0.7, 0.78991, 0.305]
['adjacent_site_oxidation_state', '2nd', '4th', 0.69, 0.7898, 0.319]
['bandgap', 'active_site_oxidation_state', '4th', 0.14, 0.78957, 0.324]
['active_site_oxidation_state', 'bulk_metal_oxidation_state', '4th', 0.82, 0.78948, 0.324]
['Z_val_bulk', 'magmom', 'd_MO', 0.97, 0.78943, 0.327]
['active_site_oxidation_state', '1st', '4th', 0.68, 0.78938, 0.325]
['d_MM', '2nd', '4th', 1.06, 0.78928, 0.324]
['bulk_metal_oxidation_state', 'atomic_radius', '4th', 2.27, 0.78926, 0.32]
['Z_val_atom', 'magmom', 'd_MM', 0.99, 0.78891, 0.314]
['d_MM', 'en_pauling', '4th', 0.92, 0.78859, 0.322]
['magmom', 'd_MO', 'c6', 0.89, 0.78855, 0.309]
['n_d_el_adjacent', 'active_site_oxidation_state', '3rd', 0.73, 0.78829, 0.315]
['n_d_el_adjacent', 'active_site_oxidation_state', 'bulk_metal_oxidation_state', 0.92, 0.7881, 0.316]
['Z_val_atom', 'q_O', '5th', 0.16, 0.78804, 0.319]
['bandgap', 'adjacent_site_oxidation_state', '4th', 0.25, 0.78797, 0.314]
['d_MM', 'adjacent_site_oxidation_state', '4th', 0.88, 0.78786, 0.325]
['Z_val_atom', 'd_MM', '5th', 0.04, 0.78772, 0.322]
['Z_val_bulk', 'bulk_metal_oxidation_state', 'atomic_radius', 1.29, 0.78771, 0.317]
['Z_val_atom', 'bulk_metal_oxidation_state', 'atomic_radius', 2.16, 0.78771, 0.317]
['Z_val_atom', 'Z_val_bulk', 'atomic_radius', 1.39, 0.78771, 0.317]
['d_MO', 'c6', '5th', 0.15, 0.78738, 0.322]
['n_d_el_active', '3rd', '4th', 1.82, 0.78728, 0.342]
['q_M', 'd_MM', '4th', 1.15, 0.78708, 0.326]
['q_O', 'bulk_metal_oxidation_state', '4th', 0.89, 0.78706, 0.326]
['d_MM', 'c6', '3rd', 1.16, 0.787, 0.307]
['Z_val_atom', 'd_MM', '4th', 0.83, 0.78686, 0.333]
['q_O', 'adjacent_site_oxidation_state', '4th', 0.17, 0.78663, 0.319]
['d_MM', 'c6', '2nd', 1.3, 0.78651, 0.321]
['q_M', '2nd', '3rd', 1.14, 0.78639, 0.301]
['d_MM', 'n_d_el_adjacent', 'active_site_oxidation_state', 0.69, 0.78628, 0.314]
['n_d_el_adjacent', 'bulk_metal_oxidation_state', 'en_pauling', 2.18, 0.78618, 0.322]
['n_d_el_adjacent', 'bulk_metal_oxidation_state', '2nd', 2.34, 0.78616, 0.313]
['q_M', 'adjacent_site_oxidation_state', 'c6', 0.85, 0.78616, 0.3]
['Z_val_atom', 'q_O', '4th', 0.85, 0.7859, 0.325]
['Z_val_bulk', 'd_MM', 'c6', 0.48, 0.78572, 0.306]
['n_d_el_adjacent', 'active_site_oxidation_state', '2nd', 0.76, 0.78566, 0.304]
['Z_val_bulk', 'active_site_oxidation_state', '2nd', 0.58, 0.78535, 0.308]
['Z_val_bulk', 'd_MM', 'bulk_metal_oxidation_state', 0.62, 0.78529, 0.321]
['Z_val_atom', 'd_MM', 'bulk_metal_oxidation_state', 1.09, 0.78529, 0.321]
['Z_val_atom', 'Z_val_bulk', 'd_MM', 0.67, 0.78529, 0.321]
['q_O', 'd_MM', 'c6', 0.35, 0.78526, 0.308]
['d_MO', 'c6', '3rd', 0.79, 0.78516, 0.313]
['active_site_oxidation_state', 'en_pauling', '3rd', 0.32, 0.78506, 0.308]
['q_O', '2nd', '4th', 0.79, 0.78498, 0.328]
['Z_val_bulk', 'd_MM', 'active_site_oxidation_state', 0.86, 0.78493, 0.306]
['d_MO', 'n_d_el_adjacent', 'active_site_oxidation_state', 1.07, 0.78492, 0.316]
['d_MM', '1st', '4th', 0.96, 0.78484, 0.325]
['q_M', 'magmom', '4th', 1.08, 0.7847, 0.335]
['d_MM', 'n_d_el_active', '4th', 0.83, 0.78465, 0.328]
['q_O', 'bandgap', 'c6', 0.16, 0.78462, 0.318]
['d_MM', 'atomic_radius', '4th', 1.11, 0.78451, 0.333]
['Z_val_bulk', 'active_site_oxidation_state', 'en_pauling', 0.56, 0.78441, 0.314]
['d_MM', 'atomic_radius', 'c6', 1.27, 0.78421, 0.309]
['bulk_metal_oxidation_state', '4th', '5th', 0.91, 0.78419, 0.323]
['d_MO', 'n_d_el_active', 'c6', 0.82, 0.78403, 0.32]
['d_MM', 'n_d_el_adjacent', '4th', 0.85, 0.78382, 0.332]
['d_MO', 'c6', 'en_pauling', 0.62, 0.78378, 0.311]
['magmom', 'd_MM', '4th', 1.28, 0.78359, 0.329]
['Z_val_bulk', 'd_MM', '4th', 0.33, 0.78354, 0.332]
['n_d_el_adjacent', 'adjacent_site_oxidation_state', 'bulk_metal_oxidation_state', 0.98, 0.78352, 0.321]
['Z_val_bulk', 'adjacent_site_oxidation_state', 'bulk_metal_oxidation_state', 0.61, 0.78352, 0.321]
['Z_val_bulk', 'n_d_el_adjacent', 'bulk_metal_oxidation_state', 1.76, 0.78352, 0.321]
['Z_val_bulk', 'n_d_el_adjacent', 'adjacent_site_oxidation_state', 0.98, 0.78352, 0.321]
